P001	<b>01.04.2132, 21:32. Позакорабельна діяльність</b>
P011	— Так-так, чув про це, — перебив його капітан. — Я перевірив розклад: завтра, з нагоди сторіччя, обов’язкових вильотів немає. Тож під’єднай третій резервний кисневий балон. Там на тебе чекає сюрприз.

P012	— А що там?

P013	— Вдихнеш — і дізнаєшся. Приємного повернення додому! Чекаю через десять хвилин.

P014	У призначений час, пройшовши шлюз, Сергій непевною ходою рушив до роздягальні, а врешті й сів на лаву, зігнувшись навпіл. Сторонньому спостерігачеві могло б здатися, що Сергія трусять дрібні судоми, і він занепокоївся б, але Генрі знав, що відбувається з техніком. Він підійшов до Сергія, щоб допомогти зняти важезний скафандр для «позакорабельної діяльності».

P015	— Як настрій, лейтенанте? — капітан усміхнувся, побачивши, як Баровський весело сміється за відкидним щитком. Він поставив келих вина на лаву й допоміг Сергієві роздягнутися. — Зі святом, колего!

P016	— А-ха-ха! Ну… ти… й… паскуда, Генрі! — кинув космонавт крізь сміх, що вже вщухав. — Яка ж… паскуда!

P017	— Давай сюди шолом, веселуне. Зараз допоможу з рештою. А ти насолоджуйся! — він допоміг Сергієві зняти скафандр і повісив його в шафу. — Сподобалося?

P018	— Де ти взагалі дістав звеселяльний газ? — Баровський іще всміхався, але погляд уже був войовничий. — Таке не можна доправляти на орбітальні станції! Навіть на такі старі, як наша.

P019	— Це вже моя проблема. Ти весь час такий суворий, що перед завершенням нашої третьої вахти мені захотілося лишити тобі приємний спогад. Повторюю: життя — це мить, хлопче!

P020	— Знаю я твою філософію. А ти знаєш, що мене не зміниш! Я ж розповідав тобі про батька.

P021	— Пам’ятаю, друже. Пам’ятаю, — О’Гара поплескав товариша по плечу. — Але хто старе пом’яне, тому око геть. Так у вас, росіян, кажуть, еге ж? Не забувай: за цей рік ти заощадив цілу 0,01 секунди життя!

P022	— Ти не забув, що ми не знаємо точної різниці в плині часу на місячній станції й на Землі? Ти говориш про вимірювання, зроблені на МКС.

P023	— Ех, видовищно тоді знищили станцію у 2026 році… Гаразд, гайда до їдальні святкувати. Дай мені лише кілька хвилин повернути кисневі балони на місце, бо ще хтось помре зі сміху. Буквально.

P024	— Гайда, веселуне, — трохи відчужений погляд лейтенанта прояснів. — А Юля вже там?

P025	— Дасс? Так, уже десь годину базікає із Шоном та Акіто.

P026	— Чим їй так подобаються ці хлопці?

P027	— Їй тільки дай нагоду похизуватися знанням китайської та японської мов. Уперше бачу таку фанатку азійської культури!

P028	— У кожного свої слабкості, Генрі. Ти, наприклад, страшенно надокучлива паскуда.

P029	<b>01.04.2132, 21:50. Теорії контакту</b>

P030	— Поки ремонтував батареї, я ось про що подумав, Генрі, — сказав Сергій, коли вони, минаючи стикувальні секції, прямували до їдальні. Час від часу він підносив келих до рота й відпивав вина. — Чому в нас удома держави постійно конфліктують? Ми ж тут так не робимо? Ні на нашій заправній станції, ні на першій о’нілівській ніхто не свариться. У нас, по суті, за сто років особливих проблем і не було.

P031	— Траплялися різні дрібниці, Серж, але загалом ти маєш рацію. Моя теорія проста: нас змушує необхідність. Дивись. Удома ти живеш у затишному колі родини й друзів, у рідному місті, де все просто й знайомо. Тобі ніщо смертельно не загрожує, і, якщо вже хтось допік, ти можеш замкнутися вдома й відпочити від усього та всіх.

P032	— Припустімо. І що?

P033	— А на станції? Де тут сховаєшся? Місця обмаль, гравітації немає, і всі дуже тісно пов’язані. Наші життя залежать одне від одного. Уяви: якщо я тебе чимось образив, то скільки в тебе є способів підставити мене, щоб помститися?

P034	— Я навіть не знаю, із чого почати… Та хоча б твій подаруночок у кисневому баку. Чим не нагода? Не дай боже станеться критична ситуація, а в мене в балоні звеселяльний газ замість кисню. П’ять хвилин тут можуть усе вирішити.

P035	— От бачиш. Хочеш не хочеш, а доводиться довіряти всім і ставитися одне до одного поблажливіше. Ми всі в одному човні — от і не сваримося. Не можемо ми дозволити собі чвари. А вдома є і час, і свобода, і бажання.

P036	— Сумно якось від цього.

P037	— Ми вже років п’ятдесят як розв’язали життєво важливі проблеми людства. Але так уже ми влаштовані — вічно всім невдоволені. Геть усім. Навіть коли все чудово.

P038	— Амінь.

P039	Вони прийшли. Тут можна було вимкнути магнітні підошви черевиків: їдальня була єдиною секцією зі штучною гравітацією. Років двадцять тому одна зі співробітниць поскаржилася, що за річну зміну їй хочеться бодай нормально поїсти в умовах гравітації, близької до земної. Науковці й космонавти почухали потилиці — петицію підписали всією командою. От десять років тому й добудували нову їдальню. Тепер можна насолоджуватися звичним сніданком. Права людини — хоч у чомусь людство досягло успіху!

P040	Генрі підштовхнув Сергія до бару:

P041	— Візьми мені ще келих сухого червоного.

P042	— «Каберне», як завжди?

P043	— Так.

P044	— А навіщо тобі ще один? Ти ж і першого не допив.

P045	— А раптом у Юлі там цікава розмова? Візьму про запас, якщо вона затягнеться.

P046	— Так, черга біля бару добряча. Дослухаюся до твоєї поради й теж одразу візьму кілька пляшок темного пива.

P047	Генрі подякував лейтенантові й попрямував до столика сержантки Юлі Дасс. Світловолоса й блакитноока українка, як завжди, мала розкішний вигляд. Навіть сіра інженерна роба сиділа на ній так, що чудово підкреслювала фігуру пілотеси. Розстебнутий до половини верх комбінезона вона обв’язала рукавами довкола стегон. Багато хто хотів би опинитися на місці тих рукавів… Завдяки невтомній турботі про себе Юля стала першою красунею станції. Без жодних перебільшень. За всю її історію. Іноді вона була аж надто емоційна, але ж пілоти всі такі. Робота вимагає від них граничної зосередженості, от вони й надолужують у звичайному житті. А як доля звела її із Сергієм, досі ніхто не знає. Культурна спорідненість, як каже він. Вона жваво розмовляла з невисоким, але напрочуд ґречним біохіміком Акіто Таконаші та замисленим психологом Шоном Чаном. Голоси вже лунали на всю їдальню.

P048	— Тако, ну чому ти постійно зі мною сперечаєшся? Аргументи ж залізобетонні!

P049	— Міс Дасс, ви мені вкрай симпатичні, але ваші аргументи просто нелогічні. Ви заперечуєте погляд на це питання з боку біохімії! Пане Чане, ви згодні?

P050	— Мені зрозуміла ваша точка зору, пане Таконаші. Вона слушна лише за умови існування подібної цивілізації.

P051	— Чого ви так завелися, народ? Точніше, завелася! Джулі, невже знову сперечаєтеся про іншопланетян? — капітан підійшов до столика. — Знову намагаєшся переконати хлопців?

P052	— Аякже! Я їм доведу: коли ми зустрінемося з іншопланетянами, вони неодмінно нас прикінчать! Треба бити першими, щоб вони й отямитися не встигли. Як бояться, то поважають!

P053	— А якщо вони сильніші?

P054	— Тоді ми їх кмітливістю! — Юля грюкнула кулаком по столу, допила пиво й рішуче поглянула в бік бару. — Серьога там іще не закінчив?

P055	— Він біля барної стійки. Візьме кілька порцій, потім у нього забереш. Хоча… герой уже повертається.

P056	Технік підійшов із кількома келихами пива й вина на таці.

P057	— Серж, вони знову теревенять про контакти.

P058	— Та я й не сумнівався. Привіт, моя чорнокрила бісинко, — Сергій поцілував Юлю. — Досі сперечаєтеся?

P059	— Звісно, білокрилий мій! Ми ще в процесі. Я візьму в тебе одне пиво? — вона всміхнулася й мило зазирнула йому в очі.

P060	— А в мене є вибір?

P061	— А сам як думаєш?

P062	— Ех-х… — він посунув келих ближче до неї й зітхнув. — Я так розумію, мені все-таки доведеться розсудити вас, еге ж? — Баровський узяв келих темного й добряче відпив. — А я вже думав, що пронесе. Через що весь цей гармидер?

P063	— Нехай Тако й Шон скажуть першими. Вони ж у нас науковці зі ступенями.

P064	— Юлю, пасивна агресія не розв’язує проблем, а лише створює нові. Пане Таконаші, ви не проти, якщо я почну першим? — Шон повернувся до біохіміка, який сидів поруч.

P065	— Анітрохи, пане Чане, — науковець кивнув у відповідь.

P066	— Отже, як ви вже всі знаєте, тема нашої дискусії — реакція людства на контакт з іншопланетною расою. Наші погляди розходяться з огляду на специфіку нашої діяльності. Юля міркує з погляду військового ремесла, а ми — з погляду психології та біохімії. Це аж ніяк не означає, що ці підходи протиставлені один одному, просто вони різні за суттю.

P067	— Шоне, то що там із боку психології? — запитав Сергій.

P068	— У XXI столітті існувала така програма, як SETI. Вона спеціалізувалася на пошуку позаземних радіосигналів. І в цьому була головна помилка. Психологи вважають, що людство не може виявити позаземний розум через аналог сліпоти неуваги. Цей психологічний феномен полягає в нездатності розгледіти предмет, який потрапив у поле зору, через присутність інших об’єктів, на яких зосереджена увага людини. На доказ своєї думки психологи провели когнітивний тест за участю ста тридцяти семи добровольців, що складався з кількох частин. Перша перевіряла когнітивну рефлексію — здатність людини правильно розв’язати задачу, швидка інтуїтивна відповідь на яку є хибною. Після цього учасникам показували аерофотографії штучних і природних об’єктів. В один зі знімків вставили зменшене зображення людини в костюмі горили — натяк на знаменитий експеримент із невидимою горилою. Виявилося, що ті, хто був схильний до імпульсивної поведінки й поспішав дати неправильну відповідь, частіше помічали горилу на знімках. Водночас люди з аналітичним складом розуму більше схильні до «сліпоти неуваги». На думку психологів, такі результати свідчать, що науковці, можливо, не помічають інших доказів існування позаземних цивілізацій. Це також означає, що іншопланетяни, навіть якщо знайдуть нас, можуть так само просто нас не помітити. Вони можуть діяти в іншому просторі. Тому мені здається, що іншопланетян ми так ніколи й не знайдемо. Така моя версія.

P069	— Можу додати, Шоне, що психологи також розкритикували шкалу Кардашова, якою оцінюють технологічний розвиток гіпотетичної цивілізації за кількістю споживаної нею енергії. Цивілізації першого типу використовують усі доступні ресурси рідної планети, другого — енергію зорі, а третього — енергію всієї галактики. Отже, пошук радіосигналів дає змогу знайти лише цивілізації першого типу. Чимало чинників свідчать, що контакт з іншопланетянами взагалі неможливий.

P070	— Так точно, лейтенанте, — ствердно кивнувши Сергієві, Шон подивився на японця. — Тепер ви, пане Таконаші.

P071	— Дякую, пане Чане. Якщо високоповажний професор говорить про неможливість контакту загалом, то я наполягаю, що контакт неодмінно станеться, рано чи пізно, але за однієї умови: найімовірніше, не з гуманоїдною расою. Адже Всесвіт настільки різноманітний, а абсолютної більшості систем ми навіть не бачили, не кажучи вже про глибокі дослідження. Так, набагато легше міркувати, ніби іншопланетні цивілізації розвивалися так само, як ми, але це не так. Існує неосяжна кількість шляхів розвитку. Вони нам просто невідомі! Тут уся річ у біології. Феномен «іншопланетної ДНК». Ви не раз читали в книжках або бачили у фільмах, що іншопланетяни вбудували в людину «свою ДНК», науковці схрестили «ДНК іншопланетян» із ДНК людини — такі сюжетні елементи трапляються в багатьох науково-фантастичних творах. І в усіх цих творах наявність в іншопланетян генетичного коду, аналогічного людському, сприймається як певний закон природи й самоочевидний факт. Однак це не так…

P072	— Точно, Тако, — підтвердила пілотеса. — У мене ще свіжі враження від прочитаного бестселера Сема Прокланда про злиття тіл чужих і людей у «Сатіократії». Класний роман! Коли Алекса закохалася в дослідницю раси Крі, Ксаорші…

P073	— А з погляду науки — цілковита нісенітниця! — перебив її біохімік. — Генетичний код — це послідовність нуклеотидів, з яких складається молекула ДНК. Спосіб кодування інформації в молекулі ДНК однаковий у всіх земних організмів. Саме тому людська клітина, заражена вірусом, розуміє мову вірусної ДНК і на її основі може створити мільйони нових вірусів. Так вірус уражає людину й розмножується її коштом. Суть у тому, що ми маємо спільного предка, а тому сумісні. Натомість прибульці з інших планет будуть з іншого «генетичного тіста». Можливо, вони взагалі зберігають інформацію не в ДНК, а в якийсь інший спосіб. Тому немає підстав вважати, що ми неодмінно зустрінемо гуманоїдів. Найімовірніше, це буде щось інше. Просто наука ще не знає, що саме.

P074	— Тако, я не казала, що загарбники будуть саме гуманоїдами! Я лише кажу, що вони точно нас знищать. Ну або ми їх.

P075	— Ви щойно прямо сказали, міс Дасс, що вони гуманоїди.

P076	— Я тебе не розумію… — Юля похитала головою. — Чому, якщо вони агресивні, то відразу гуманоїди?

P077	— Те, що в умовах еволюції відрізняє людину від інших видів живих істот на нашій планеті, ґрунтується на головному принципі — агресії. Щоб будь-який вид успішно розмножувався в межах певного середовища, йому необхідно протистояти труднощам і долати їх. Це підштовхує до розвитку еволюційних адаптацій. Домінантна форма життя на планеті — а саме до такої форми, на вашу думку, належать іншопланетяни — має повністю підкорити собі середовище, у якому існує.

P078	— Правильно, Тако. І будь-яка форма розумного життя, яка дістанеться нашої планети, прибуде з дослідницькою метою. Іншопланетяни, як і будь-який інший розвинений вид, використовуватимуть технології собі на користь. Найімовірніше, вони знищать усе живе на планеті, яку оберуть за ціль і на яку захочуть висадитися. Навряд чи це буде війна світів. Радше нас просто винищать без зайвого галасу, наче ненависних комах. Тому треба діяти на випередження. Бабахнути в їхній бік гучніше, щоб зрозуміли: ми не таргани!

P079	— Я ж і кажу: ви відразу припускаєте, що чужий розум ухвалюватиме рішення, схожі на людські, а це означає, що ви вважаєте іншопланетну расу гуманоїдною і схильною діяти так само, як ми. У цьому й полягає біологічна теза: ви міркуєте з погляду людини про людину.

P080	— Гаразд, професоре, тепер ви міркуєте в іншому ключі, хоча до цього казали, що я докорінно помиляюся. Можливо, з погляду біології все правильно. Але якщо це гуманоїдна раса, я матиму рацію.

P081	— Навіть у цьому разі можливі певні кореляції. Розумієте, слід також урахувати, що бувають різні соціальні…

P082	— Пане Таконаші, — перебив його технік, — повірте моєму досвіду спілкування з цією прекрасною дівчиною: краще на цьому зупинитися.

P083	— Ваша воля, містере Баровський.

P084	— От і чудово, панове й дамо! Теорій багато: їх і вигадують, щоб було над чим поміркувати. А вино існує, щоб його пити! Тому увага! До півночі хвилина, тож вип’ємо за нашого дорогого Сержа, чий день народження ось-ось настане! — Генрі О’Гара підняв келих червоного й поглянув на годинник. — П’ять!

P085	— Чотири! — підняв свою склянку з коктейлем Шон Чан.

P086	— Три! — у повітрі зависла чашка з чаєм Акіто Таконаші.

P087	— Два! — вигукнула відважна Юля.

P088	— Один! — завершив відлік Сергій.

P089	Станцію добряче трусонуло. Світло згасло. Морок.

P090	<b>02.04.2132, 00:05. Коригування курсу</b>

P091	Сергій завжди знав, чим була для нього ця станція: острівцем життя в бездушній порожнечі космосу. Тут людський розум показував пихатій байдужості зір свою міць — іще слабку, але вже не крихку. Станція порушувала одноманітність вакууму. Звук — у тиші. Вогні — у темряві.

P092	Лейтенант опритомнів від того, що Генрі різко його струснув.

P093	— Живий?

P094	— Так. Тільки перестань трусити мене, наче ляльку. Живий я, живий, — Баровський озирнувся. Аварійний генератор увімкнувся майже відразу, і червоні сигнальні вогні на стелі, стінах та підлозі забезпечували сяку-таку видимість. Гравітацію було вимкнено. Генрі тримався за пригвинчений до підлоги стілець і притримував Сергія. — Де Юля?

P095	— Я тут, — вона звелася, розтираючи забиті лікті й коліна. — Хлопці теж цілі, — науковці водночас кивнули й запитально подивилися на О’Гару. Утрьох вони трималися за перекинутий стіл. — Що робитимемо?

P096	— Треба дістатися житлових відсіків і чекати подальших указівок, — міркував уголос капітан. — Якщо ми досі живі, отже, системи життєзабезпечення працюють. Усім прямувати до кают! — скомандував керівник станції вже на всю їдальню.

P097	— Генрі, ти не маєш рації, — притримав його Сергій. — Нам п’ятьом, як старшим за званням, доведеться йти до командного центру ухвалювати стратегічні рішення. І я попрошу тебе взяти з нами Юлю. Ти не проти?

P098	— Можливо, нам знадобиться фах пілота-навігатора, — сказав Генрі й запитально глянув на дівчину; Юля кивнула. — Тоді йдіть за мною. На нас іще чекає важка розмова з Радою.

P099	«Оце тобі й день народження», — майнуло в голові російського технаря й одразу випарувалося.

P100	Вони мовчки йшли темним коридором до центру. Ніхто не хотів озвучувати спільну для всіх думку. Аби тільки не пошкодилася система циркуляції повітря. З усім іншим можна розібратися.

P101	Невеликий командний центр був розрахований лише на командира, старшого біохіміка, техніка, навігатора, психолога й відповідального за запаси. Усі, крім останнього, прийшли разом. Більшу частину відсіку займав центральний стіл із голографічною панеллю для Ради Націй. Навколо стояли звичайні стільці. Цією кімнатою користувалися рідко. Поки всі влаштовувалися й діставали планшети, досередини вбіг заспаний Антоніо Гарсія.

P102	— Вітаю, сеньйоре! Прибув так швидко, як зміг.

P103	— Вільно, Антоніо. Сідай.

P104	— Дякую, капітане, — Гарсія пройшов повз науковців і сів праворуч від Чана, обвів усіх поглядом і приготувався слухати.

P105	— Доповідайте, — О’Гара подивився на свого друга. Починати мав Сергій: він уже перевірив датчики.

P106	— Капітане, пошкоджень на станції немає. Усі системи працюють так само, як до поштовху. Є лише одна проблема: нас знесло з гало-орбіти Місяця, і ми надто швидко рухаємося до Землі. Поштовх вибив нас із точки Лагранжа. Юлю, як нам повернутися?

P107	— Дай подумати, — вона сперлася на стіл і на мить замовкла. — У нас є невеликі маневрові двигуни на випадок рідкісного коригування курсу. Щоправда, — вона глянула на показники швидкості й траєкторії польоту, — нас зносить надто швидко, вони не допоможуть.

P108	— Якщо нас несе до Землі, — перехопив ініціативу командир, — чи можемо ми викинути паливо й вибухом штовхнути станцію в протилежний бік? Так ми погасимо початковий імпульс і змінимо траєкторію. Якщо правильно розрахувати силу й напрямок вибуху, то зможемо повернутися до точки гравітаційної рівноваги майже без витрат палива. У крайньому разі потужності маневрових двигунів вистачить, щоб вирівняти курс. Що думаєте?

P109	— Теоретично це звучить непогано, капітане О’Гаро, — сказав Акіто, — але навряд чи на такій швидкості ми зможемо викинути паливні елементи так, щоб вони набагато випередили станцію. А якщо їхня швидкість буде меншою або такою самою, вибух може пошкодити станцію. Потрібні значна відстань і велика потужність вибуху.

P110	— А що щодо вантажних шатлів? Вони ж розраховані на зліт із поверхні Місяця. Потужності має вистачити, — озвучив свою думку Сергій.

P111	— Так, я на це й розраховував, Серж.

P112	— Тільки є нюанс, — сказала пілотеса. — Обидва вантажні шатли зараз на Місяці, якщо ви не забули. Я лишилася тут, бо можу пілотувати легкі навчальні човники. Кожен має два легкі лазери малої дальності, а на одному встановлено новий експериментальний швидкісний двигун. Якщо розігнати човник, завантажити вибухівку й підірвати її в потрібному місці, ми ще маємо шанс спрямувати станцію куди треба.

P113	— Є ще якісь пропозиції, командо? — Генрі подивився на кожного з присутніх. — Немає? Серж, скільки часу до входження в атмосферу Землі?

P114	— За даними систем, дві години й тридцять три хвилини. Але щосекунди ми наближаємося до нашої блакитної кульки, і сила тяжіння зростає. Треба врахувати це зростання, спричинене ним прискорення станції та потужність вибуху, щоб урівноважити всі сили. Ти тут єдиний фізик, капітане. Згадаєш колишнє й усе розрахуєш?

P115	— Так, лейтенанте. Більше нікому. Розпорядження таке. Антоніо, перевірте запаси продовольства, палива й повітря. Звіт мені за п’ятнадцять хвилин.

P116	— Так точно, сер! — Гарсія поспіхом зник у темному проході.

P117	— Сержантко Дасс, готуйтеся до вильоту. На підготовку у вас двадцять хвилин.

P118	— Слухаюсь, командире! — пілотеса помчала до вантажного відсіку.

P119	— Серж і Таконаші, ваше завдання — знайти паливо й розрахувати потужність вибуху залежно від його маси. Чекаю вас тут через десять хвилин із розрахунками. А вам, містере Чане, доручаю перевірити особовий склад. Вільні, — решта вийшла. — Дай боже, усе вийде, — промовив уже до самого себе О’Гара. — Головне зараз — не помилитися в розрахунках.

P120	<b>02.04.2132, 00:15. Вибуховий політ</b>

P121	Захекані технік і біохімік повернулися й застали фізика глибоко замисленим. Він щось тихо бурмотів собі під ніс, укотре перевіряючи формули. Його вочевидь щось бентежило.

P122	— Капітане, як там у тебе з формулою? — Сергій передав Генрі розрахунки.

P123	— Мій результат не збігається із симуляцією бортового асистента. Ця нейронна макітра каже, що я помиляюся. Я, звісно, давно не практикувався, але ще не старий. За вашими даними про потужність і моєю формулою, нам потрібно вісімдесят два літри палива. А комп’ютер пише, що шістдесят чотири. Можливо, я неправильно розрахував прискорення станції, але різниця між нашими й комп’ютерними результатами надто велика. Та часу більше немає: що довше ми летимо, то складнішими стають розрахунки й то більше треба палива. А його обмаль. Антоніо сказав, що всього дев’яносто чотири літри. Я не впевнений у своїх цифрах, тож підемо на компроміс: беріть сімдесят п’ять. І помолімося на маневрові двигуни. Зателефонуйте завідувачеві складу й скажіть, щоб доправив паливо на корабель. Серж, полетиш із Дасс.

P124	Поки Сергій біг коридором, його думки перескакували з одного на інше. Поштовх, орбіта, станція, паливо, Земля, вибух, Юля, Генрі, корабель… За всім не встежиш. Що ж могло статися? Він сподівався, що це не чергові експерименти, як у 2115 році. Тоді в Сонячній системі зник чималий шмат метеоритного поля. Загинуло кілька десятків першокласних космонавтів. Добряче тоді перепало азійським колонізаторам. А ось і ангар.

P125	— До праці й оборони готовий, товаришко Дасс! — Сергій щодуху побіг до Юлі. — Чим допомогти?

P126	— Завантаж паливо, мені ще треба перевірити двигун — і готово. А ти як?

P127	— Як я вже сказав, цілком готовий до всього. Піду завантажувати, не нудьгуй, — він узявся затягувати контейнери з паливом.

P128	— Та куди вже мені.

P129	Час вильоту наближався. Паливо завантажили, системи перевірили — можна стартувати.

P130	— Траєкторію польоту, швидкість і точку вибуху виведено на екран, — уточнив капітан. — Сержантко Дасс, ти готова?

P131	— Так, кепе! Як і Серж.

P132	— Тоді… Ні пуху ні пера, друзі!

P133	— До біса! — дружно відгукнулася пара.

P134	П’ятнадцять хвилин польоту минули в мовчанці. Було над чим подумати. До того ж технік не хотів відволікати пілотесу. Незабаром треба було випускати паливо.

P135	— Усе готово, Юль?

P136	— Так.

P137	— А ти сама? Готова?

P138	— Наскільки взагалі може бути готова недосвідчена пілотеса. Ти міцно скріпив контейнери між собою?

P139	— Так, не хвилюйся. Відкриєш шлюз — вилетять як миленькі! І чого ти так нервуєш? Це космос, тут ні в що не вріжешся! А в штурвал учепилася, як на першому іспиті.

P140	— До запуску лишилося дві хвилини. Радіус дії лазерів — два кілометри. Якщо ми все зробимо правильно, станцію врятовано. Саме тому я й хвилююся.
